OrderID,BatchID,CustomerName,SteelGrade,SteelType,Thickness,Width,Length,Weight,UnitPrice,TotalPrice,ProductionLine,Warehouse,QualityGrade,Status,OrderDate,ProductionDate,DeliveryDate,ContactEmail,ContactPhone
SO-2025-6511,B-130094,Thornton-Shepherd,316SS,Alloy Steel,18.59,1424.0,15574.0,3236.38,520.3,1683.89,Line-C2,WH-Central,Rework,Rework Required,2025-07-15,2025-07-21,2025-07-26,ymcneil@example.net,(370)928-9517
SO-2024-2402,B-353080,Ortiz Ltd,Q345,Spring Steel,55.74,1481.0,11713.0,7590.32,1308.8,9934.21,Line-D2,WH-Reserve,A,Ready,2025-07-06,2025-07-07,2025-07-12,charlesharrington@example.com,696-515-8657x80913
SO-2024-6016,B-796212,Good-Hodges,201SS,Alloy Steel,47.59,2062.0,11106.0,8555.23,1113.25,9524.11,Line-E1,WH-Export,C,Shipped,2025-07-28,2025-08-03,2025-08-11,wallaceheather@example.org,8504455623
SO-2024-2976,B-856321,Lynch Group,A709-50,Alloy Steel,12.4,2072.0,15146.0,3054.77,1949.17,5954.27,LINE-XXX,WH-West,B,Shipped,2025-07-11,2025-07-17,2025-07-25,tyleraguilar@example.org,647.840.7482x175
SO-2025-2647,B-973074,Bruce-Gonzalez,A709-50,Carbon Steel,23.13,1359.0,6170.0,1522.47,1084.27,1650.77,Line-E1,WH-East,C,Rework Required,2025-07-26,2025-07-27,2025-07-28,gcastaneda@example.org,(995)694-4064x0909
SO-2024-9042,B-207570,Lawson LLC,A36,Carbon Steel,47.2,1881.0,8212.0,5723.34,1301.41,7448.41,Line-A1,WH-Central,Reject,In Production,2025-07-29,2025-07-30,2025-08-13,danaoliver@example.net,001-421-504-7095x21456
SO-2024-1878,B-259097,"Walter, Diaz and Shaw",A588,Carbon Steel,8.98,1496.0,12697.0,1338.99,1094.71,1465.81,Line-D1,WH-West,Rework,Hold,2025-07-09,2025-07-13,2025-07-21,maria47@example.com,001-651-371-2368x5160
SO-2025-6003,B-696251,"Curry, Baker and James",A572-50,Cold Rolled,94.79,1416.0,8532.0,8989.72,813.07,$7309.27,Line-A2,WH-East,B,In Production,2025-07-19,2025-07-21,2025-07-30,daniel37@example.org,+1-285-693-1746x120
SO-2025-8381,B-822858,Davis PLC,316SS,Carbon Steel,3.75,1576.0,9393.0,435.77,1350.28,588.41,Line-D2,WH-South,B,Ready,2025-08-04,2025-08-07,2025-08-20,paulwatson@example.net,001-786-592-6179x640
SO-2024-3441,B-378535,Foley Inc,A588,Cold Rolled,6.43,2585.0,13141.0,1714.63,1899.47,3256.89,Line-E2,WH-Central,Reject,Shipped,2025-07-19,2025-07-20,2025-07-28,amy50@example.com,531-371-3900x532
SO-2025-9199,B-666211,"Clark, Robinson and Kane",316SS,Spring Steel,8.5,1080.0,11184.0,805.95,2499.14,2014.18,Line-C2,WH-Central,A,Pending,2025-07-30,2025-07-31,2025-08-04,kim90@example.com,(728)542-1020
SO-2025-1659,B-900177,Thompson Inc,A242,Spring Steel,52.14,1884.0,9338.0,7200.71,1316.7,9481.17,Line-E2,WH-Domestic,Reject,Delivered,2025-07-23,2025-07-24,2025-08-01,judyfox@example.net,577-258-9178
SO-2025-2713,B-999398,"Boyd, Ellis and Maynard",A242,Alloy Steel,41.46,1991.0,13951.0,9040.15,1146.55,10364.98,Line-D1,WH-North,Reject,Shipped,2025-07-27,2025-07-28,2025-08-03,lutzmelanie@example.com,+1-717-871-1592x12499
SO-2025-9431,B-964998,"Phillips, Wagner and Jordan",A36,Spring Steel,41.62,1375.0,10341.0,4645.55,762.03,3540.05,Line-D2,WH-Reserve,A,Rework Required,2025-08-04,2025-08-06,2025-08-11,farrelldebra@example.net,001-736-673-6576x6156
SO-2025-8178,B-832168,Mcdaniel Group,316SS,Cold Rolled,3.37,2260.0,15592.0,932.2,686.42,639.88,Line-B1,WH-Central,Rework,Cancelled,2025-07-17,2025-07-18,2025-07-27,davischristopher@example.com,352-880-9885
SO-2024-8560,B-223172,"Pugh, Henderson and Moon",A588,Spring Steel,93.3,1584.0,14465.0,16781.27,789.28,13245.12,Line-D1,WH-Reserve,Reject,Rework Required,2025-07-16,2025-07-18,2025-07-26,schmittcaroline@example.com,798-332-7315
SO-2024-9327,B-882544,"Perez, Patterson and Hoffman",A588,Cold Rolled,27.99,2580.0,10979.0,6223.79,2174.95,13536.43,Line-E1,WH-Central,A,Processing,2025-07-28,2025-07-31,2025-08-12,lynchdiane@example.net,302-444-5502x296
SO-2025-3434,B-568238,Davis PLC,430SS,Spring Steel,34.84,2104.0,12521.0,7204.98,967.12,6968.08,Line-D2,WH-Export,B,Cancelled,2025-07-28,2025-08-03,2025-08-07,nicholaschavez@example.org,(645)999-1022x901
SO-2025-1715,B-433632,Lawson-Perry,316SS,Tool Steel,38.91,2327.0,15849.0,11264.95,2239.4,25226.73,Line-B1,WH-Reserve,A,Delivered,2025-07-25,2025-07-27,2025-08-05,kariwilson@example.com,
SO-2025-2633,B-651499,Saunders LLC,304SS,Hot Rolled,72.38,1820.0,13857.0,14329.43,1746.52,25026.64,Line-B1,WH-South,Reject,Delivered,2025-07-12,2025-07-19,2025-07-24,mark07@example.net,(922)368-3885x16060
SO-2025-2315,B-993140,"Patterson, Sullivan and Bowman",S420,Tool Steel,95.44,2254.0,16649.0,28115.26,2494.85,70143.36,Line-D2,WH-North,Rework,Shipped,2025-07-31,2025-08-01,2025-08-05,darius05@example.org,+1-875-616-1369x681
SO-2024-8110,B-203225,Cook and Sons,A514,Spring Steel,17.05,1599.0,6347.0,1358.35,791.14,1074.65,Line-C2,WH-North,C,Cancelled,2025-07-28,2025-07-31,2025-08-06,dixondaniel@example.net,455.423.1243
SO-2025-3950,B-278240,"Jones, Bean and Burton",A242,Cold Rolled,61.14,1765.0,14198.0,12027.27,1419.14,17068.38,Line-D2,WH-East,B,Shipped,2025-07-28,2025-08-01,2025-08-12,wwebster@example.net,299.755.2717x744
SO-2024-8622,B-401603,Murray-Johnson,430SS,Galvanized,7.85,2890.0,17852.0,3179.25,898.43,2856.33,Line-C1,WH-Domestic,C,Shipped,2025-07-21,2025-07-25,2025-08-08,marie11@example.net,+1-986-479-8079x359
SO-2025-8916,B-211834,Garcia-Nolan,S355,Tool Steel,57.41,2150.0,17912.0,17355.6,2321.23,40286.34,Line-C1,WH-North,Reject,Pending,2025-08-03,2025-08-06,2025-08-07,toni18@example.net,(703)777-8892
SO-2025-5689,B-913423,Ortiz-Morgan,S355,Alloy Steel,22.29,1380.0,9008.0,2175.14,566.73,1232.72,Line-B1,WH-South,A,Hold,2025-08-02,2025-08-05,2025-08-18,mccormickdeborah@example.org,
SO-2025-3153,B-194511,Collins Group,S235,Alloy Steel,74.87,1351.0,7586.0,6023.46,1013.94,6107.43,Line-E1,WH-Export,Rework,Quality Check,2025-07-23,2025-07-28,2025-08-02,lisa81@example.net,+1-468-350-5423x57332
SO-2025-5835,B-882824,Romero PLC,S420,Cold Rolled,47.1,1151.0,15050.0,6404.75,527.84,,Line-B2,WH-Domestic,Rework,Cancelled,2025-07-14,2025-07-17,2025-07-19,stanleynancy@example.net,(296)822-2927
SO-2024-8451,B-486490,"Young, Wallace and Mitchell",S275,Tool Steel,82.33,2881.0,7300.0,13592.33,2330.51,31677.06,Line-B2,WH-Reserve,A,Delivered,2025-07-16,2025-07-21,2025-07-30,pyoung@example.com,435.697.7468x8623
SO-2024-2035,B-766269,Sawyer-Spencer,304SS,Carbon Steel,65.1,1233.0,6544.0,4123.41,2274.52,9378.78,Line-A1,WH-Central,Reject,Ready,2025-07-07,2025-07-08,2025-07-10,dawsonzachary@example.org,812-247-8261x3750
SO-2024-7367,B-575679,Young-Vang,S460,Tool Steel,58.94,2453.0,16625.0,18868.57,-50.0,35483.48,Line-A2,WH-Reserve,Rework,Pending,2025-07-17,2025-07-21,2025-07-26,jeffrey51@example.net,+1-252-620-4727x7901
SO-2024-8264,B-566297,Dunn Ltd,S355,Alloy Steel,10.39,2371.0,12534.0,2423.85,2398.02,5812.44,Line-C2,WH-North,Reject,In Production,2025-07-12,2025-07-15,2025-07-19,srodriguez@example.org,510-436-9711x7980
SO-2025-2501,B-794963,Mendez and Sons,A709-50,Hot Rolled,5.53,1667.0,17866.0,1292.88,914.31,$1182.09,Line-E2,WH-West,A,Rework Required,2025-07-14,2025-07-21,2025-08-03,qlopez@example.org,651.288.8880x67065
SO-2024-4817,B-444519,Cooper Ltd,A588,Hot Rolled,28.09,2968.0,17850.0,11682.17,763.61,8920.62,Line-E1,WH-Central,B,Pending,2025-07-16,2025-07-17,2025-07-28,ingramjill@example.com,(405)385-2772
SO-2025-4898,B-717457,Johnson-Harris,S420,Hot Rolled,17.84,1105.0,14901.0,2305.91,1526.48,3519.93,Line-E1,WH-South,A,Delivered,2025-07-27,2025-07-31,2025-08-08,ninastewart@example.com,868.874.0345x05415
SO-2024-8405,B-628313,Morgan-Lopez,S355,Hot Rolled,72.86,2818.0,13907.0,22414.72,1352.55,30317.03,Line-C1,WH-Reserve,A,Cancelled,2025-07-28,2025-07-29,2025-08-06,,716-616-9284x511
SO-2024-9032,B-847006,"Robbins, Jackson and Wallace",304SS,Cold Rolled,89.98,1644.0,7780.0,9034.35,1924.31,17384.89,Line-B1,WH-Central,Rework,Rework Required,2025-07-15,2025-07-21,2025-07-31,wwilliams@example.net,(340)516-5820x29702
SO-2025-9692,B-409222,Cox-Herring,304SS,Tool Steel,10.37,2404.0,16234.0,3176.94,1177.86,3741.99,Line-E1,WH-West,Reject,Cancelled,2025-07-29,2025-08-02,2025-08-06,jacobserika@example.com,(271)492-8565x431
SO-2025-7532,B-536196,Mcintyre-Wilson,A514,Alloy Steel,42.96,2330.0,10492.0,8244.19,686.46,5659.31,Line-B1,WH-Reserve,A,In Production,2025-07-20,2025-07-21,2025-08-04,jane39@example.com,001-373-612-1727x155
SO-2024-7105,B-951201,Joseph Ltd,A588,Hot Rolled,58.85,2123.0,9956.0,9764.52,2236.18,21835.22,Line-A2,WH-Domestic,C,Cancelled,2025-08-01,2025-08-08,2025-08-19,laurahicks@example.org,923.470.5895
SO-2024-5712,B-729575,Jones Group,S235,Alloy Steel,10.81,2015.0,7857.0,1343.47,1235.12,1659.35,Line-D2,WH-West,A,Rework Required,2025-07-24,2025-07-27,2025-08-10,xfox@example.com,001-412-451-7785
SO-2025-4705,B-946432,Reynolds Inc,Q345,Hot Rolled,61.09,2316.0,14322.0,15906.77,2343.08,37270.83,Line-A1,WH-East,C,Shipped,2025-07-29,2025-08-04,2025-08-17,holmeskevin@example.org,335-484-1438x42498
SO-2025-1100,B-290217,"Moore, Hopkins and Le",A588,Tool Steel,7.42,2482.0,17662.0,2553.38,814.82,2080.55,Line-A2,WH-West,Reject,Delivered,2025-07-23,2025-07-27,2025-08-04,megan90@example.org,909-643-9690
SO-2025-6314,B-914571,Webb-Ballard,201SS,Cold Rolled,88.39,1311.0,15053.0,13693.0,1471.32,20146.78,Line-A1,WH-South,C,Cancelled,2025-07-25,2025-07-29,2025-08-09,eevans@example.net,4277677359
SO-2025-7785,B-386436,Gross-Valencia,A709-50,Cold Rolled,34.84,1222.0,14139.0,4725.39,941.04,4446.78,Line-E2,WH-Reserve,Rework,Pending,2025-07-31,2025-08-06,2025-08-11,,+1-415-337-1473
SO-2024-1125,B-314353,Lin-Barnes,S235,Stainless Steel,76.85,2528.0,9473.0,14447.02,758.37,10956.19,Line-A2,WH-North,Reject,Quality Check,2025-07-07,2025-07-13,2025-07-20,lisapeck@example.net,532-578-7747x01687
SO-2024-9196,B-685864,Williams Group,S460,Cold Rolled,40.01,2484.0,11235.0,8765.22,1919.0,16820.46,Line-D2,WH-South,C,Cancelled,2025-07-23,2025-07-28,2025-08-04,amitchell@example.org,(624)356-5060x98358
SO-2025-5743,B-220768,Duran-Ramirez,Q235,Hot Rolled,96.64,1344.0,17371.0,17711.31,986.63,17474.51,Line-D2,WH-Export,A,In Production,2025-07-17,2025-07-21,2025-08-04,andersoncolin@example.com,985-923-9868x00025
SO-2025-9584,B-182467,"Taylor, Velazquez and Flores",Q235,Carbon Steel,74.71,1443.0,15349.0,12989.57,1202.2,15616.06,Line-A2,WH-South,Rework,Delivered,2025-07-10,2025-07-15,2025-07-19,vewing@example.com,001-258-788-7947
SO-2024-4871,B-207798,Whitney PLC,A588,Carbon Steel,20.13,2205.0,15123.0,5269.39,1862.27,9813.03,Line-A2,WH-East,Reject,Hold,2025-07-15,2025-07-19,2025-08-01,laura09@example.com,599-230-9728x962
SO-2025-6179,B-258290,"Rodriguez, Smith and Edwards",304SS,Cold Rolled,47.16,2263.0,15556.0,13032.45,1423.48,18551.43,Line-E2,WH-North,C,Shipped,2025-07-23,2025-07-28,2025-07-30,robertharris@example.net,001-997-702-8385x78652
SO-2024-1932,B-486649,"Ingram, Le and Schneider",S235,Cold Rolled,64.64,2955.0,7084.0,10622.02,1399.47,14865.2,Line-E2,WH-Domestic,Reject,Pending,2025-07-22,2025-07-27,2025-08-05,chelsea33@example.com,+1-743-644-3757
SO-2024-6267,B-734394,"Rhodes, James and Baird",316SS,Galvanized,95.79,1901.0,15732.0,22488.26,995.49,22386.84,Line-C2,WH-South,Rework,Pending,2025-07-14,2025-07-20,2025-07-23,stephanie24@example.org,315-574-7338x4842
SO-2025-8199,B-649525,"Stein, Perez and Hall",409SS,Galvanized,36.71,2836.0,10649.0,8703.0,1615.93,14063.44,Line-C2,WH-North,C,In Production,2025-07-13,2025-07-14,2025-07-13,,+1-520-282-6773x45401
SO-2025-5655,B-364236,Butler and Sons,A588,Alloy Steel,8.61,2327.0,17001.0,2673.89,1119.16,2992.51,Line-C1,WH-Domestic,B,In Production,2025-08-02,2025-08-07,2025-08-19,osbornrandy@example.com,(640)904-9915
SO-2025-6381,B-952686,"Warren, Small and Anderson",A588,Cold Rolled,64.78,1847.0,10342.0,0.0,884.01,8586.95,Line-C2,WH-Central,B,Hold,2025-08-04,2025-08-06,2025-08-12,znelson@example.org,727-342-0549x32966
SO-2024-3538,B-180913,Lopez and Sons,S235,Cold Rolled,51.02,2080.0,14864.0,12382.52,1694.49,20982.06,Line-E1,WH-North,C,Quality Check,2025-07-18,2025-07-25,2025-08-04,pmorris@example.org,563-274-5499x045
SO-2024-3658,B-289630,Parker-Sullivan,A242,Spring Steel,4.85,1729.0,14635.0,963.38,1118.94,1077.96,Line-D2,WH-Central,Reject,Ready,2025-07-26,2025-07-28,2025-08-06,hannah45@example.net,932.572.7956
SO-2025-4178,B-485709,"Fischer, Marks and Miller",201SS,Spring Steel,46.44,1564.0,10582.0,6033.46,2246.0,13551.15,Line-E1,WH-Domestic,B,Quality Check,2025-07-28,2025-08-04,2025-08-08,xrice@example.org,001-410-788-3982
SO-2024-8873,B-489244,Wilson-Harris,430SS,Cold Rolled,71.28,2032.0,7496.0,8522.96,2162.09,18427.41,Line-A2,WH-East,C,Quality Check,2025-07-31,2025-08-04,2025-08-13,gdavis@example.com,9726867908
SO-2024-4637,B-956375,Scott-Smith,304SS,Alloy Steel,93.08,1830.0,10757.0,14383.62,556.38,8002.76,Line-C2,WH-West,Reject,Ready,2025-07-27,2025-07-28,2025-08-03,bethwilliams@example.com,001-718-801-7046x226
SO-2024-6493,B-929822,Bennett-Vega,A588,Galvanized,4.31,2835.0,11669.0,1119.27,538.01,602.18,Line-B1,WH-Reserve,Reject,In Production,2025-07-19,2025-07-24,2025-07-25,desireebailey@example.org,+1-868-823-0047
SO-2024-3449,B-675462,Murray and Sons,409SS,Tool Steel,11.56,1576.0,9614.0,1374.95,625.61,860.18,Line-A1,WH-West,Reject,Hold,2025-07-30,2025-08-05,2025-08-18,jacob10@example.net,(890)933-1190x79030
SO-2025-9782,B-117233,Webster Inc,409SS,Stainless Steel,72.0,1583.0,6019.0,5385.27,1546.97,8330.85,Line-C2,WH-West,Rework,In Production,2025-07-13,2025-07-17,2025-07-20,williamroberts@example.net,001-559-895-3428
SO-2025-2108,B-651613,Hawkins PLC,430SS,Hot Rolled,39.35,1940.0,13628.0,8166.73,1189.6,9715.14,Line-C2,WH-Central,A,In Production,2025-07-15,2025-07-18,2025-07-31,,8564856624
SO-2024-6447,B-239890,Allen-Perez,A572-50,Alloy Steel,54.83,2627.0,8101.0,9159.81,1932.09,17697.58,Line-D2,WH-Reserve,B,In Production,2025-07-28,2025-08-04,2025-08-07,lindamelendez@example.net,(568)282-6343x51751
